time,temp,hum
709166091, 28.0, 38.8
709166093, 28.0, 38.8
709166096, 28.0, 38.8
709166098, 28.0, 38.9
709166101, 28.0, 38.8
709166103, 28.0, 38.8
709166106, 28.0, 38.8
709166108, 28.0, 38.8
709166110, 28.0, 38.7
709166113, 28.0, 38.7
709166115, 28.0, 38.7
709166118, 28.0, 38.7
709166120, 28.5, 48.5
709166123, 28.5, 73.6
709166125, 28.6, 85.1
709166128, 28.4, 90.4
709166130, 28.2, 92.6
